actions speak louder than words	baiango-idiom	行动比言语更响亮		idiom	
add in	wec-phrasal	把...包括在内\n[计] 添加		phrasal	
add insult to injury	baiango-idiom	伤害之余又侮辱		idiom	
add on	wec-phrasal	（在计算或目录的末尾额外）加上, 附加		phrasal	
add to	wec-phrasal	[机] 加入, 加到		phrasal	
add up	wec-phrasal+moby-pos	合计		phrasal	
add up to	wec-phrasal	合计达		phrasal	
adhere to	wec-phrasal	执着于,坚持,粘附于,信奉…		phrasal	
adjourn to	wec-phrasal	休会到…;转移到…继续谈		phrasal	
admit of	wec-phrasal	承认,坦白		phrasal	
against the clock	baiango-idiom	抢在某一时刻之前		idiom	
against the grain	baiango-idiom	格格不入		idiom	
agree with	wec-phrasal	同意…,与…意见一致;适应…		phrasal	
aim at	wec-phrasal	瞄准,对准;旨在,目的在于		phrasal	
alight on	wec-phrasal	碰到,碰巧遇到		phrasal	
alive and kicking	baiango-idiom	活蹦乱跳的		idiom	
all aboard	baiango-idiom	请上船(车、飞机)		idiom	
all ears	baiango-idiom	全神贯注地听		idiom	
all set	baiango-idiom	一切准备就绪		idiom	
all thumbs	baiango-idiom	笨手笨脚的		idiom	
allow for	wec-phrasal	虑及, 体谅		phrasal	
allow of	wec-phrasal	容许		phrasal	
amount to	wec-phrasal	[经] 等于, 相当于		phrasal	
an arm and a leg	baiango-idiom	代价昂贵的,贵得出奇,高昂的代价		idiom	
an eye for an eye	baiango-idiom	以眼还眼, 报复		idiom	
answer back	wec-phrasal+moby-pos	顶嘴\n[计] 应答; 回答信号		phrasal	
answer for	wec-phrasal+moby-pos	符合（…需要）; 对…负责; 充当…; 许诺		phrasal	
answer to	wec-phrasal	与…一致,符合;因…而起作用		phrasal	
argue out	wec-phrasal	把…辩论清楚		phrasal	
around the world	baiango-idiom	全世界,遍及全世界,世界各地		idiom	
arrive at	wec-phrasal	到达, 达到		phrasal	
arse around	wec-phrasal	[网络] 屁股		phrasal	
as busy as a bee	baiango-idiom	极忙碌		idiom	
as clear as mud	baiango-idiom	毫不清楚,令人迷惑不解		idiom	
as cool as a cucumber	baiango-idiom	极为冷静		idiom	
as easy as abc	baiango-idiom	极其容易,十分简单		idiom	
as fit as a fiddle	baiango-idiom	十分健康,精神饱满		idiom	
as old as the hills	baiango-idiom	极古老		idiom	
as right as rain	baiango-idiom	非常健康		idiom	
as the crow flies	baiango-idiom	笔直的		idiom	
ask about	wec-phrasal	打听,询问		phrasal	
ask after	wec-phrasal+moby-pos	探问		phrasal	
ask around	wec-phrasal	到处打听		phrasal	
ask for	wec-phrasal+moby-pos	请求, 找(人)		phrasal	
ask in	wec-phrasal	请（某人）进来		phrasal	
ask out	wec-phrasal	请（某人）外出		phrasal	
ask over	wec-phrasal	请（某人）来自己家		phrasal	
ask round	wec-phrasal	邀请(某人)来家(常指短时间的)：；(多方)打听, 询问:		phrasal	
associate with	wec-phrasal	与…有联系,和…交往		phrasal	
at a loose end	baiango-idiom	闲着		idiom	
at loggerheads	baiango-idiom	发生争执		idiom	
at sixes and sevens	baiango-idiom	乱七八糟, 不和		idiom	
at the drop of a hat	baiango-idiom	一发出信号就…,立刻,毫不迟疑地		idiom	
at the eleventh hour	baiango-idiom	在最后时刻		idiom	
attend to	wec-phrasal	处理; 注意; 听取; 致力于		phrasal	
auction off	wec-phrasal	把（财产）拍卖掉		phrasal	
average out	wec-phrasal	算出...平均数, 最终得到平衡\n[经] 达到平均数		phrasal	
awaken to	wec-phrasal	v. 醒悟		phrasal	
back away	wec-phrasal	逐渐后退		phrasal	
back down	wec-phrasal+moby-pos	放弃要求, 取消前言		phrasal	
back into	wec-phrasal	（使）倒进…		phrasal	
back off	wec-phrasal	后退		phrasal	
back out	wec-phrasal+moby-pos	停止不干, 食言\n[法] 收回, 不再担保, 不承认		phrasal	
back out of	wec-phrasal	退出,不履行		phrasal	
back to square one	baiango-idiom	回到起始状态		idiom	
back to the salt mines	baiango-idiom	重回工作岗位,重操旧业,又要辛苦了		idiom	
back up	wec-phrasal+moby-pos	支持, 倒退, 给...装上背衬		phrasal	
backseat driver	baiango-idiom	n. 指那些自己不在岗位上，但是却喜欢不断给在位的人提供别人不需要的意见或建议的人。		idiom	
bail out	wec-phrasal	跳伞\n[法] 保释, 委托		phrasal	
balance out	wec-phrasal	相抵，平衡		phrasal	
bale out	wec-phrasal+moby-pos	v. 用降落伞降落; 跳伞		phrasal	
ball up	wec-phrasal	[机] 滚成球		phrasal	
band together	wec-phrasal	（使）联合起来; 穿连裆裤; 成群结队		phrasal	
bang about	wec-phrasal	发出响声地动来动去		phrasal	
bang around	wec-phrasal	发出响声地动来动去		phrasal	
bang on	wec-phrasal+moby-pos	正合适,正好,好极了,太好了		phrasal	
bang out	wec-phrasal	v. 匆匆做出		phrasal	
bang up	wec-phrasal+moby-pos	撞坏, 砰地摔下		phrasal	
bank on	wec-phrasal+moby-pos	指望, 依赖		phrasal	
bank up	wec-phrasal	堆积, 筑堤		phrasal	
bargain down	wec-phrasal	[网络] 讨价还价		phrasal	
bargain for	wec-phrasal+moby-pos	指望, 想以廉价买		phrasal	
bargain on	wec-phrasal+moby-pos	指望,预料		phrasal	
barge in	wec-phrasal	v. 闯入, 干涉		phrasal	
barge into	wec-phrasal	v. 闯入,与…相撞		phrasal	
base on	wec-phrasal	v. 基于		phrasal	
bash in	wec-phrasal	v. 打坏		phrasal	
basket case	baiango-idiom+moby-pos	[医] 全肢断离者		idiom	
bat around	wec-phrasal+moby-pos	到处游荡, 详细讨论		phrasal	
batten on	wec-phrasal	靠...养肥		phrasal	
batter down	wec-phrasal	撞倒,冲垮,摧毁		phrasal	
bawl out	wec-phrasal+moby-pos	<美口>痛骂; 训斥喊叫; <美>大骂; 痛责		phrasal	
be after	wec-phrasal	追赶, 寻找		phrasal	
be along	wec-phrasal	来到		phrasal	
be cut out for	wec-phrasal	适合于, 天生是...的料子		phrasal	
be down on	wec-phrasal	对...有怨气		phrasal	
be fed up	wec-phrasal	吃得过饱, 极厌倦		phrasal	
be in	wec-phrasal	到达，执政; 在家; 搞		phrasal	
be in hot water	baiango-idiom	陷入困境		idiom	
be in on	wec-phrasal	参预		phrasal	
be off	wec-phrasal	离开,取消,竣工,变坏		phrasal	
be on	wec-phrasal	已经开始了, 接受打赌; 上映		phrasal	
be on the ball	baiango-idiom	在精力充沛地行动, 知情, 内行		idiom	
be out to	wec-phrasal	企图,决心,很想…		phrasal	
be taken aback	wec-phrasal	吃惊		phrasal	
be taken with	wec-phrasal	喜欢,被…迷住,对…感兴趣		phrasal	
be up	wec-phrasal	起床		phrasal	
be up to	wec-phrasal	胜任,达到,由…负责		phrasal	
beam up	wec-phrasal	[化] 放大油嘴; 放大油嘴直径		phrasal	
bear down	wec-phrasal+moby-pos	压倒, 击败		phrasal	
bear down on	wec-phrasal	加压力于, 冲向, 袭击		phrasal	
bear on	wec-phrasal+moby-pos	使难以承受负荷, 有关, 瞄准\n[法] 施力压力, 有关系, 有影响		phrasal	
bear out	wec-phrasal+moby-pos	证实\n[法] 证明, 证实, 辩护		phrasal	
bear up	wec-phrasal+moby-pos	承受, 使振作, 始终忠于, 驶向下风		phrasal	
bear up under	wec-phrasal	挺住,顶住,经受		phrasal	
bear with	wec-phrasal+moby-pos	[法] 忍耐		phrasal	
beat around the bush	baiango-idiom	转弯抹角, 旁敲侧击, 拖延谈及正题		idiom	
beat down	wec-phrasal+moby-pos	打倒, 镇压, 杀价		phrasal	
beat off	wec-phrasal	打退		phrasal	
beat on	wec-phrasal	敲打		phrasal	
beat out	wec-phrasal	敲平, 搞清		phrasal	
beat up	wec-phrasal+moby-pos	痛打, 惊扰, 招募, 搅拌\n[法] 殴打, 虐待, 杀		phrasal	
beaver away	wec-phrasal	忙于（某事）, 勤奋工作		phrasal	
become of	wec-phrasal	发生, 结果是		phrasal	
bed down	wec-phrasal	安排(人/动物)舒服地睡觉, 使自己舒服地睡觉		phrasal	
bed out	wec-phrasal	栽种,移栽		phrasal	
beef up	wec-phrasal	<口>加强, 补充（人数、兵力）等; 使更大（更好、更有意思等）		phrasal	
behind closed doors	baiango-idiom	与外界隔绝地, 秘密地		idiom	
behind the scenes	baiango-idiom	在后台, 在幕后\n[法] 秘密地, 暗中, 幕后		idiom	
behind the times	baiango-idiom	过时		idiom	
believe in	wec-phrasal	信仰, 信任		phrasal	
belong to	wec-phrasal	属于		phrasal	
belong with	wec-phrasal	属于…,与…配套,适合…		phrasal	
belt down	wec-phrasal	朝…方向急走；飞奔		phrasal	
belt out	wec-phrasal+moby-pos	拉开嗓门唱, 热情演奏		phrasal	
belt up	wec-phrasal+moby-pos	安静些, 别讲话了; 系上安全带		phrasal	
bend down	wec-phrasal	弯腰,俯身		phrasal	
bend over	wec-phrasal	俯身于…		phrasal	
bend over backwards	wec-phrasal+baiango-idiom	矫枉过正, 拼命		idiom	
benefit of the doubt	baiango-idiom	[法] 先推定为无罪		idiom	
between the devil and the deep blue sea	baiango-idiom	进退两难,进退维谷,处于困境		idiom	
bid up	wec-phrasal+moby-pos	哄抬(价钱)\n[法] 哄抬		phrasal	
bind over	wec-phrasal+moby-pos	在法庭发誓		phrasal	
bird's eye view	baiango-idiom	n. 鸟瞰；俯视		idiom	
bitch up	wec-phrasal	破坏,搞糟		phrasal	
bite at	wec-phrasal	咬, 向...叫骂		phrasal	
bite back	wec-phrasal+moby-pos	把咽了回去		phrasal	
bite off	wec-phrasal	咬掉, 截去		phrasal	
bite the bullet	baiango-idiom	硬着头皮,死撑硬顶		idiom	
bite the dust	baiango-idiom	大败		idiom	
black and blue	baiango-idiom	青肿的, 淤血的		idiom	
black out	wec-phrasal	使停刊, 熄灭灯火		phrasal	
blank out	wec-phrasal	消失, 成为空白		phrasal	
blare out	wec-phrasal	n. 嘟嘟声, 响而刺耳的声音; （颜色等的）光泽; （音乐）声音响亮, （收音机等）高声播出（音乐）		phrasal	
blast away	wec-phrasal	炸开,爆炸;责骂,痛骂		phrasal	
blast off	wec-phrasal+baiango-idiom	点火起飞		idiom	
blaze away	wec-phrasal	连续发射, 使劲做		phrasal	
blend in	wec-phrasal	（使）（与…）和谐或协调		phrasal	
blend into	wec-phrasal	调合成,融合成…		phrasal	
bliss out	wec-phrasal	狂喜, 进入狂喜的状态		phrasal	
block in	wec-phrasal	草拟		phrasal	
block off	wec-phrasal	关闭, 封闭, 封锁		phrasal	
block out	wec-phrasal+moby-pos	遮住; 遮挡…使不被印出来; 画出…的略图; 打草样		phrasal	
block up	wec-phrasal	阻碍, 垫高\n[机] 停用, 关闭		phrasal	
blood is thicker than water	baiango-idiom	血浓于水		idiom	
blot out	wec-phrasal	抹去		phrasal	
blot up	wec-phrasal	擦干,吸干		phrasal	
blow away	wec-phrasal	吹散,吹走		phrasal	
blow down	wec-phrasal	[电] 冲放		phrasal	
blow hot and cold	baiango-idiom	摇摆不定		idiom	
blow in	wec-phrasal+moby-pos	突然来到, 突然来访		phrasal	
blow off	wec-phrasal+moby-pos	吹掉, 放出		phrasal	
blow off steam	baiango-idiom	放出多余的蒸汽, 发脾气, 花掉多余的精力		idiom	
blow out	wec-phrasal+moby-pos	吹熄, 爆裂\n[经] 井喷, 井喷险		phrasal	
blow over	wec-phrasal+moby-pos	被淡忘		phrasal	
blow up	wec-phrasal+moby-pos	使充气, 爆炸, 放大\n[化] 爆发		phrasal	
blurt out	wec-phrasal	因为高兴或紧张而不假思索地脱口而出; 直言不讳		phrasal	
board out	wec-phrasal	在外面用膳		phrasal	
board up	wec-phrasal	用木板封住, 用木板隔断		phrasal	
bob up	wec-phrasal	突然出现		phrasal	
bog down	wec-phrasal+moby-pos	陷入困境, 停顿		phrasal	
boil away	wec-phrasal+moby-pos	不断沸腾, 汽化		phrasal	
boil down	wec-phrasal+moby-pos	熬浓, 压缩\n[机] 煮浓		phrasal	
boil down to	wec-phrasal	归结为		phrasal	
boil over	wec-phrasal+moby-pos	沸溢, 发怒\n[机] 沸溢		phrasal	
boil up	wec-phrasal+moby-pos	(麻烦)到了一触即发的地步		phrasal	
bolster up	wec-phrasal	支持, 支撑, 巩固; 撑腰		phrasal	
bomb out	wec-phrasal+moby-pos	炸毁		phrasal	
bone up	wec-phrasal	<俚>抓紧温习（课程）（特指学生考试前临阵磨枪）, （为某种目的）突击钻研（某种学科等）		phrasal	
bone up on	wec-phrasal	认真学,专心致志地学努力研读		phrasal	
book in	wec-phrasal+moby-pos	登记住入,签到		phrasal	
book of knowledge	baiango-idiom	[网络] 知识积累与共享；知识全书；知识册		idiom	
book up	wec-phrasal	预订, 预订座位		phrasal	
boot out	wec-phrasal	赶走, 开除		phrasal	
boot up	wec-phrasal	[计]引导，启动		phrasal	
border on	wec-phrasal	接壤		phrasal	
born on the wrong side of the blanket	baiango-idiom	a. 私生的		idiom	
boss around	wec-phrasal	颐指气使		phrasal	
botch up	wec-phrasal	<口>（由于不注意、不小心等）搞坏, 弄糟		phrasal	
bottle up	wec-phrasal+moby-pos	克制; 遏制; 抑制; 约束		phrasal	
bottom line	baiango-idiom	n. 概要, 账本底线		idiom	
bottom out	wec-phrasal+moby-pos	达到最低点\n[经] 走出谷底		phrasal	
bounce back	wec-phrasal+moby-pos	受挫折后恢复原状; 回声; 卷土重来		phrasal	
bounce off	wec-phrasal	试探（某人对某一新设想和意见），大发议论		phrasal	
bow down	wec-phrasal	压弯（某物）, 使（某物）弯下; 屈服		phrasal	
bow out	wec-phrasal+moby-pos	躬身送（某人）出门; 放弃做（某事）; 退出		phrasal	
bow to	wec-phrasal	屈服于,屈从于,服从		phrasal	
bowl out	wec-phrasal	问住,难住;戳穿		phrasal	
bowl over	wec-phrasal+moby-pos	击倒, 使狼狈		phrasal	
box in	wec-phrasal	如盒子一般地围起来, 不让…通过		phrasal	
box up	wec-phrasal	装箱, 困住		phrasal	
brace up	wec-phrasal	打起精神, 下定决心		phrasal	
branch off	wec-phrasal	分叉		phrasal	
branch out	wec-phrasal+moby-pos	长出枝条, 扩展范围		phrasal	
brave out	wec-phrasal	[网络] 勇敢的		phrasal	
break a leg	baiango-idiom	祝好运；大获成功（用于祝愿演员演出成功）		idiom	
break away	wec-phrasal	突然离开, 脱离, 放弃		phrasal	
break bread	baiango-idiom	共餐		idiom	
break down	wec-phrasal+moby-pos	毁掉, 制服, 压倒, 倒塌, 垮掉, 分解\n[化] 发生故障		phrasal	
break in	wec-phrasal+moby-pos	训练, 使经使用逐渐合用, 闯入, 打断		phrasal	
break into	wec-phrasal+moby-pos	破门而入, 侵占\n[法] 破门而入		phrasal	
break new ground	baiango-idiom	开创新局面		idiom	
break off	wec-phrasal	折断, 突然停止, 脱落, 断绝, 暂停		phrasal	
break out	wec-phrasal+moby-pos	突发, 爆发, 叫嚷, 倒空, 取出, 使作准备\n[机] 铸漏		phrasal	
break out in	wec-phrasal	突然发出,迸发出,突发		phrasal	
break someone's heart	baiango-idiom	使心碎		idiom	
break the bank	baiango-idiom	耗尽资源		idiom	
break the ice	baiango-idiom	打破沉默		idiom	
break the mold	baiango-idiom	[化] 揭模; 开模		idiom	
break through	wec-phrasal+moby-pos	突围, 突破\n[计] 断缺		phrasal	
break up	wec-phrasal+moby-pos	打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏		phrasal	
break with	wec-phrasal	与...绝交, 摒弃		phrasal	
breathe in	wec-phrasal	吸入		phrasal	
breathe out	wec-phrasal	呼出		phrasal	
breed out	wec-phrasal	在人工繁殖中消除		phrasal	
breeze along	wec-phrasal	步履轻盈		phrasal	
breeze in	wec-phrasal	象一阵风似地来到, 突然出现, 轻而易举地取胜		phrasal	
breeze through	wec-phrasal	轻松地做		phrasal	
brew up	wec-phrasal	泡茶		phrasal	
brick in	wec-phrasal	用砖补		phrasal	
brick up	wec-phrasal	用砖砌住		phrasal	
bright and early	baiango-idiom	大清早		idiom	
brighten up	wec-phrasal	使愉快,使生辉		phrasal	
brim over	wec-phrasal	满而溢出; 盈溢; 漫溢		phrasal	
bring about	wec-phrasal+moby-pos	带来, 使掉头		phrasal	
bring along	wec-phrasal	带来,随身携带		phrasal	
bring around	wec-phrasal	使信服		phrasal	
bring back	wec-phrasal	拿回来, 使回忆起来, 使恢复		phrasal	
bring down	wec-phrasal+moby-pos	打倒, 击落, 击败, 降低\n[经] 结转, 转下		phrasal	
bring forth	wec-phrasal	使产生		phrasal	
bring forward	wec-phrasal+moby-pos	提出, 提前\n[经] 结转		phrasal	
bring home the bacon	baiango-idiom	成功, 谋生		idiom	
bring in	wec-phrasal+moby-pos	提出, 挣得, 引进		phrasal	
bring off	wec-phrasal+moby-pos	救出, 完成		phrasal	
bring on	wec-phrasal+moby-pos	引起, 导致, 使发展		phrasal	
bring out	wec-phrasal+moby-pos	使显示, 出版, 说出\n[经] 包销人公开出售新证券		phrasal	
bring over	wec-phrasal+moby-pos	使转变, 把...带来\n[经] 转入(下页,次页)		phrasal	
bring round	wec-phrasal+moby-pos	把（某人或某物）带到约好的地点; 劝说（某人）改变主意[意见]; 说服（某人）; 使恢复知觉		phrasal	
bring the house down	baiango-idiom	博得满堂喝彩		idiom	
bring through	wec-phrasal	救活		phrasal	
bring together	wec-phrasal	使相合[连接]; 使相识; 使坐在一起; 使会面		phrasal	
bring up	wec-phrasal+moby-pos	教育, 培养, 提出, 停下, 呕出		phrasal	
bristle with	wec-phrasal	充满		phrasal	
broaden out	wec-phrasal	1。（路、河等）变宽; 2。拓展; 扩大; （使）数目增加		phrasal	
brush aside	wec-phrasal+moby-pos	扫除, 漠视		phrasal	
brush away	wec-phrasal	刷去		phrasal	
brush down	wec-phrasal	刷掉; 掸掉; 把…刷干净; 斥责（某人）		phrasal	
brush off	wec-phrasal+moby-pos	刷去, 脱落, 除掉		phrasal	
brush up	wec-phrasal+moby-pos	刷干净, 复习, 提高\n[机] 刷新, 擦光		phrasal	
bubble over	wec-phrasal	冒泡溢出, 激动起来		phrasal	
bubble up	wec-phrasal	冒泡, 沸腾		phrasal	
bubble with	wec-phrasal	沸腾着,洋溢着		phrasal	
buck up	wec-phrasal+moby-pos	使振作		phrasal	
buckle down	wec-phrasal+moby-pos	全力以赴		phrasal	
buckle under	wec-phrasal	让步, 屈服, 投降		phrasal	
buckle up	wec-phrasal	系好（安全带）		phrasal	
bug off	wec-phrasal	停止打扰走开		phrasal	
bug out	wec-phrasal	暴突, 撤退		phrasal	
bugger about	wec-phrasal+moby-pos	逛来逛去, 无所事事		phrasal	
bugger off	wec-phrasal+moby-pos	<英俚>走开, 离开		phrasal	
build in	wec-phrasal+moby-pos	嵌入, 插入		phrasal	
build into	wec-phrasal+moby-pos	使成为…的一部分		phrasal	
build on	wec-phrasal	在原有的建筑物上增建; 以…为基础; 依赖; 一心指望		phrasal	
build up	wec-phrasal+moby-pos	树立, 增进, 增大, 堵塞\n[化] 提升力		phrasal	
build upon	wec-phrasal	指望, 依赖, 建立于		phrasal	
bulk up	wec-phrasal+moby-pos	形成大数目, 胀大		phrasal	
bully off	wec-phrasal	【曲棍球】争球, 开球：		phrasal	
bum around	wec-phrasal	闲混; 游荡		phrasal	
bump into	wec-phrasal+moby-pos	偶然遇见		phrasal	
bump off	wec-phrasal+moby-pos	杀死某人, 谋杀某人		phrasal	
bump up	wec-phrasal+moby-pos	突然增加, 提高		phrasal	
bundle off	wec-phrasal	匆匆离开		phrasal	
bundle up	wec-phrasal+moby-pos	把...捆扎, 使穿暖		phrasal	
bung up	wec-phrasal	打伤, 打坏, 塞住		phrasal	
bunk off	wec-phrasal	[口语](从学校、家里)逃跑；逃避(责任)：		phrasal	
buoy up	wec-phrasal	使浮起, 使不下沉, 使在空中飘浮		phrasal	
burn away	wec-phrasal	继续燃烧, 烧掉		phrasal	
burn down	wec-phrasal	烧成平地, 火力减弱\n[机] 烧去, 火力衰退		phrasal	
burn in	wec-phrasal+moby-pos	留下不可磨灭的印象		phrasal	
burn off	wec-phrasal+moby-pos	[化] 烧尽		phrasal	
burn out	wec-phrasal+moby-pos	烧坏, 烧掉, 烧尽\n[机] 烧光		phrasal	
burn the midnight oil	baiango-idiom	开夜车		idiom	
burn up	wec-phrasal	烧起来, 烧掉, 发怒		phrasal	
burst in on	wec-phrasal	（因突然到来）阻碍某人[某事物]		phrasal	
burst into	wec-phrasal	闯入, 开出, 突然出现		phrasal	
burst out	wec-phrasal	闯出来, 大声喊, 突发		phrasal	
bury the hatchet	baiango-idiom	和解, 停战		idiom	
bust up	wec-phrasal	（尤指夫妻之间）争吵而离异; 使终止, 破坏		phrasal	
butt in	wec-phrasal	插手, 干涉		phrasal	
butt out	wec-phrasal	别管闲事		phrasal	
butter up	wec-phrasal+moby-pos	阿谀奉承		phrasal	
butterflies in the stomach	baiango-idiom	n. 神经质的发抖		idiom	
button up	wec-phrasal+moby-pos	[电] 按上		phrasal	
buy a pig in a poke	baiango-idiom	v. 瞎买东西		idiom	
buy in	wec-phrasal+moby-pos	买进\n[经] 买进(股票)		phrasal	
buy into	wec-phrasal+moby-pos	出钱入(某组织或企业)		phrasal	
buy off	wec-phrasal+moby-pos	收买\n[经] 买通		phrasal	
buy out	wec-phrasal+moby-pos	出钱使放弃地位\n[经] 买下, 买妥, 买下...的全部产权		phrasal	
buy up	wec-phrasal+moby-pos	全买\n[经] 囤积, 收买(公司等), 全买		phrasal	
buzz around	wec-phrasal	<俚>匆忙而紧张地行动, 乱哄哄地跑来跑去		phrasal	
buzz off	wec-phrasal+moby-pos	走开, 匆忙离去		phrasal	
by hook or by crook	baiango-idiom	vt. 弯成钩形; 想方设法; 不择手段; 千方百计		idiom	
by leaps and bounds	baiango-idiom	非常迅速地		idiom	
by the book	baiango-idiom	按常规		idiom	
calculate on	wec-phrasal	指望		phrasal	
call a spade a spade	baiango-idiom	直言不讳		idiom	
call after	wec-phrasal	追在...的后面叫喊, 以(某人)的名字为...命名		phrasal	
call at	wec-phrasal	停靠(车站), 拜访(家/办公室)		phrasal	
call away	wec-phrasal	叫走, 转移		phrasal	
call back	wec-phrasal	叫回来, 收回, 打回电		phrasal	
call by	wec-phrasal	顺路拜访		phrasal	
call down	wec-phrasal+moby-pos	叫...下来, 祈求到, 招致, 责骂		phrasal	
call for	wec-phrasal	叫(某人)来, 要求, 为...叫喊, 为...叫		phrasal	
call forth	wec-phrasal+moby-pos	引起, 使产生, 使起作用		phrasal	
call in	wec-phrasal+moby-pos	召集, 召来, 来访\n[电] 叫入		phrasal	
call it a day	baiango-idiom	收工, 当天的工作干完了.		idiom	
call it quits	baiango-idiom	停止		idiom	
call off	wec-phrasal+moby-pos	叫走, 放弃, 使转移走, 依次叫名		phrasal	
call on	wec-phrasal	号召, 呼吁, 约请, 访问		phrasal	
call out	wec-phrasal+moby-pos	召唤...行动, 唤起, 大声叫唤		phrasal	
call round	wec-phrasal	访问,拜访		phrasal	
call the shots	baiango-idiom	控制事态, 操纵		idiom	
call the tune	baiango-idiom	定调子, 发号施令, 操纵		idiom	
call up	wec-phrasal+moby-pos	召集, 使想起, 提出, 打电话给		phrasal	
call upon	wec-phrasal	号召, 拜访; 省视		phrasal	
calm down	wec-phrasal	平静下来, 镇定下来		phrasal	
camp out	wec-phrasal	野营		phrasal	
camp up	wec-phrasal	装腔作势地表演，矫揉造作		phrasal	
cancel out	wec-phrasal	[经] 抵销, 取消		phrasal	
cap off	wec-phrasal	脱盖；结束某事		phrasal	
capitalize on	wec-phrasal	利用		phrasal	
care for	wec-phrasal	喜欢, 照顾, 为...操心, 尊重		phrasal	
carry forward	wec-phrasal+moby-pos	推进, 结转\n[经] 结转, 过次页		phrasal	
carry off	wec-phrasal+moby-pos	夺去...的生命, 获得, 成功对付\n[建] 带走, 夺去		phrasal	
carry on	wec-phrasal+moby-pos	继续开展, 行为愚蠢(或越轨)\n[经] 继续发展(经营)下去		phrasal	
carry on with	wec-phrasal	与...调情		phrasal	
carry out	wec-phrasal+moby-pos	进行, 实现, 贯彻, 执行\n[经] 进行(到底), 执行, 落实		phrasal	
carry over	wec-phrasal+moby-pos	继续, 结转次页, 把...留到以后处理\n[化] 带出; 带出粉尘		phrasal	
carry the can	baiango-idiom	代人受过		idiom	
carry the torch	baiango-idiom	开战, 奋斗, 单恋		idiom	
carry through	wec-phrasal+moby-pos	实现, 使度过困难, 坚持下去\n[经] 进行(到底), 贯彻		phrasal	
cart off	wec-phrasal+moby-pos	运送; 载运; （以武力）带走; 挟持		phrasal	
carve out	wec-phrasal+moby-pos	开辟		phrasal	
carve up	wec-phrasal+moby-pos	瓜分, 划分		phrasal	
cash in	wec-phrasal+moby-pos	兑现, 结清帐目\n[经] 兑现, 赚到钱, 结算		phrasal	
cash in on	wec-phrasal	靠...赚钱, 乘机利用\n[经] 靠...赚钱, 乘机利用		phrasal	
cash out	wec-phrasal	[财]现金不足; [计]现金支出		phrasal	
cash up	wec-phrasal+moby-pos	付清帐款		phrasal	
cast about for	wec-phrasal	寻找		phrasal	
cast aside	wec-phrasal	消除, 废除		phrasal	
cast off	wec-phrasal	丢弃		phrasal	
cast on	wec-phrasal+moby-pos	起针		phrasal	
cast out	wec-phrasal	驱逐		phrasal	
cast pearls before swine	baiango-idiom	明珠暗投		idiom	
cast up	wec-phrasal	计算, 呕吐		phrasal	
castles in the air	baiango-idiom	空中楼阁		idiom	
catch at	wec-phrasal	试图抓住, 死命抓住		phrasal	
catch on	wec-phrasal+moby-pos	变得流行, 理解, 明白		phrasal	
catch out	wec-phrasal+moby-pos	<非正>揭露; 恰遇某人不在; 将…难住; 使怀孕		phrasal	
