chow down on	狂吃	eat something greedily	phrasal	俚,美
chuck in	扔进；辞职放弃	throw in; give up or resign	phrasal	口,英
claim back	索回款项	get back money you paid	phrasal	英
clamp down on	严厉打击	take severe controlling measures against	phrasal	时
clean off	擦净；痛打	wipe off; slang beat up badly	phrasal	俚
clean up after	替…收拾残局	tidy the mess other people make	phrasal	口
click through	点击进入	follow a link by clicking	collocation	科
cling on	死死抓住	hold on firmly, refuse to let go	phrasal	
cling on to	勉强保住	retain something despite mounting losses	phrasal	
close in upon	步步逼近	approach menacingly from around	phrasal	
clown about	胡闹逗趣	fool around, act the clown	phrasal	口,英
clump together	聚集成团	gather into tight clusters	phrasal	
coast along	顺其自然混日	get by with little effort	phrasal	
collect up	收拢聚起	gather things together neatly	phrasal	
colour (color) up	涨红了脸	blush, turn red in the face	phrasal	英
comb through	仔细翻查	search or examine very thoroughly	phrasal	
come across with	拿出；供出	provide money or info expected	phrasal	
come back to	回到话题	return to a subject in talk	phrasal	
come down upon	严惩责骂	punish or criticize severely	phrasal	正
come forth with	提供；站出来	come forward with what is needed	phrasal	正
come on to	勾引搭讪	make sexual approaches to	phrasal	口
come over to	转变支持	adopt another person's view or side	phrasal	
come through with	按约交出	provide what was promised when needed	phrasal	
come up for	临近（期限）	approach a scheduled event or deadline	phrasal	时
cone off	用锥标隔出	block off with traffic cones	phrasal	英
connect up	接通连接	join together so it works	phrasal	
contract out of	以合同免除	avoid a duty by contract	phrasal	法
copy down	抄录下来	write down a copy of	collocation	
copy in	抄送给	include someone in a copied email	phrasal	英
could do with	正需要；不妨	would find something useful	idiom	
count towards	计入	contribute toward a total or requirement	collocation	财
count upon	指望	rely on with confidence	phrasal	正
crack onto	勾搭搭讪	make a flirtatious approach to	phrasal	俚,英
cram in	硬塞进	force to fit into a tight space	phrasal	
crash around	轰隆乱闯	move about noisily and carelessly	phrasal	
crash out	爆冷出局；蹲狱	be eliminated; slang serve prison time	phrasal	俚,体
credit with	认为有…之功	believe someone has a quality or deed	phrasal	
creep into	悄悄渗入	enter slowly and unnoticed	phrasal	
crowd in on	涌上心头	(memories) overwhelm all at once	phrasal	
cruise through	轻松通过	pass or finish with little effort	phrasal	
cuss out	破口大骂	verbally attack someone (US slang)	phrasal	俚,美
decide upon	决定；选定	make a final choice about	phrasal	正
derogate from	减损	detract from, diminish	phrasal	正
descend into	陷入混乱	slide into chaos or disorder	phrasal	
devolve to	下放；移交	pass down or revert to another level	phrasal	正,法
dial down	调低；缓和	reduce volume or intensity	phrasal	
dial in	拨入会议	join a conference call by telephone	phrasal	
dial into	拨入连接	connect by dialing into a system	phrasal	
die for	梦寐以求	want something very much	idiom	口
dig around	四处翻找	search by moving things around	phrasal	
dine on	以…进餐	eat a formal meal of	collocation	正
dine out on	借消息炒作	profit repeatedly from publicity about	phrasal	时
dissolve into	解散成；突然放声	break apart into; burst into tears/laughter	phrasal	
divide off	划分出去	separate off a part	phrasal	
divvy out	分派瓜分	divide up and distribute shares	phrasal	口
do out of	骗走；使失去	cheat out of; lose because of	phrasal	口,英
dob in	告发检举	inform on someone's wrongdoing	phrasal	俚,英,澳
doss about	游手好闲	idle away time doing nothing	phrasal	俚,英
doss around	混日子；流浪	idle about or live rough	phrasal	俚,美
double down	加倍下注；坚持	risk more; stand firm despite losses	phrasal	
double down on	加码押注于	strengthen commitment despite risk	phrasal	
double up as	兼作	also serve the function of	phrasal	英
draft in	调来帮忙	bring in extra people to help	phrasal	英
drag by	时光难熬	pass slowly and tediously (time)	phrasal	
drag into	拖入牵扯	pull or involve forcibly into	phrasal	
draw even	追平	equal an opponent's score or standing	phrasal	体
draw into	引入卷入	lead gradually into discussion or conflict	phrasal	
drill down through	逐层深挖	search deeper through layers of data	phrasal	科
drill into	反复灌输	instill by persistent repetition	phrasal	
drop someone in it	使陷入困境	get someone into serious trouble	idiom	口,英
drown in	深陷其中	be overwhelmed or immersed in	phrasal	
drug up	下药迷倒	give drugs so someone is doped up	phrasal	俚
drum into	反复灌输	force an idea in by constant repetition	phrasal	
dub in	补录配音	add recorded voice or sound afterwards	phrasal	
dub over	移交（人犯）	officially transfer to another authority	phrasal	俚,美
duck out of	临时逃避	sneak away from a duty or promise	phrasal	口
duff up	痛打一顿	beat someone up	phrasal	俚,英
dust down	训斥；搜身	reprimand; search for drugs	phrasal	俚,美
dwell upon	老是想着	think or talk too much about	phrasal	
ease out	设法让…离职	gently force someone out of a job	phrasal	
eat away at	逐渐侵蚀	destroy gradually; torment the mind	phrasal	
elbow out	排挤掉	push out by aggressive competition	phrasal	
embark upon	着手开始	start a new course of action	phrasal	正
eye up	打量端详	look at appraisingly or with interest	phrasal	英
factor into	纳入考虑	be included when deciding	collocation	
faff around	瞎忙浪费时间	waste time on pointless activity	phrasal	口,英
fart about	瞎折腾	waste time doing stupid things	phrasal	粗,英
fart around	瞎折腾	fool around pointlessly	phrasal	粗,英
favour with	惠予赏光	honor by granting, e.g. one's presence	phrasal	正
fawn over	阿谀讨好	flatter eagerly seeking favor	phrasal	
feast on	尽情享用	eat or enjoy with great delight	collocation	
fess up to	坦白承认	confess to something	phrasal	俚,美
fill in on	通报细节	give someone the details about	phrasal	口,美
filter in	陆续进入	enter gradually in ones and twos	phrasal	
fink on	告密出卖	inform against, betray	phrasal	俚,美
fire back at	反击；怒斥	shoot back; answer angrily	phrasal	
fit out with	装备齐全	provide with necessary equipment	phrasal	
fix with	固定；约见	fasten with; BrE arrange to meet	phrasal	
flag up	提请注意	mark or report something for attention	phrasal	英
flash around	四处炫耀	display money or ideas ostentatiously	phrasal	口
flash back to	回忆起	return mentally to a past event	phrasal	
flip for	大为恼火	become very upset or angry	phrasal	俚,美
flip on	突然背叛	turn against or betray abruptly	phrasal	俚,美
flog off	廉价抛售	sell off cheaply to clear stock	phrasal	英,财
flood back	（记忆）涌上	(memories, feelings) return suddenly	phrasal	
