model on	以…为模板	pattern or base on	phrasal	
monkey see, monkey do	盲目模仿	copy without thinking	idiom	口
mooch about	闲逛,游手好闲	wander around aimlessly	phrasal	口,英
mooch around	四处闲逛	roam about with no purpose	phrasal	口,英
moon over	迷恋,神魂颠倒	be dreamily fond of	phrasal	口
mope about	闷闷不乐地闲晃	behave dejectedly	phrasal	口
move ahead	前进,推进	make progress, proceed	phrasal	
move towards	趋向,迈向	progress toward	collocation	
mug up on	临时抱佛脚,突击	cram for an exam	phrasal	俚,英
muscle in on	强行插足,挤占	force one's way into	phrasal	口
naff off	走开,滚开	go away (mildly rude)	phrasal	俚,英
nail it down	彻底弄明白,敲定	pin down or confirm exactly	phrasal	
name for	以…命名	award a name in honor of	phrasal	美
navigate the waters	在复杂局面中周旋	handle a complicated situation	collocation	
needle in a haystack	大海捞针	something nearly impossible to find	idiom	
nerd out	疯狂钻研爱好	geek out over niche topics	phrasal	俚
new dawn	新纪元,新曙光	a fresh beginning	collocation	
nibble away at	一点点蚕食	erode gradually by small amounts	phrasal	
nick off	滚开	vulgar command to go away	phrasal	粗,俚,英
nip it in the bud	扼杀在萌芽状态	stop a problem at an early stage	idiom	
no pain, no gain	没有付出就没有收获	effort is required for results	idiom	体
no-go zone""	禁区	place out of bounds	collocation	军
nose around	四处窥探	snoop or search about	phrasal	口
not everything that glitters is gold	发光未必是金子	appearances can be deceiving	idiom	
not my cup of tea	不对我胃口	not to one's liking	idiom	
not playing with a full deck	脑子缺根弦,不正常	slightly crazy or foolish	idiom	俚
not ring a bell	毫无印象	fail to sound familiar	idiom	
number among	把…列入,归入	be counted among	collocation	
nut out	琢磨出,搞定	work out, figure out	phrasal	口,澳
occur to	突然想到	come into one's mind	phrasal	
off the beaten path	偏僻少人走,不落俗套	away from the well-traveled route	idiom	美
off the charts""	爆表,高得离谱	far above the normal range	idiom	
off the radar""	不留神,未被察觉	not noticed or being monitored	idiom	口
old as the hills	老掉牙的	extremely old	idiom	
on the same boat	同处困境	in the same difficult situation	idiom	
on the same page	达成共识	in mutual agreement	idiom	
on the same wavelength	频率相同,心意相通	think alike without explaining	idiom	
once bitten, twice shy	一朝被蛇咬十年怕井绳	bad experience teaches caution	idiom	
one foot in the door	初获门径,小成突破	a start you can build on	idiom	
open a can of worms	捅大篓子,惹出麻烦	create a complicated new problem	idiom	
open a door	打开机会之门	create new opportunities	collocation	
open doors	广开机遇之门	create new opportunities	collocation	
open the door	带来机会,打开大门	create an opportunity	collocation	
open the door to opportunity""	开启机遇之门	make new opportunities possible	collocation	
open the door to possibilities	打开无限可能之门	make new possibilities possible	collocation	
open the floodgates	打开闸门,一发不可收	allow a sudden rush of something	idiom	
opening a can of worms	惹出一堆麻烦	creating a tangled new problem	idiom	
opt into	选择加入	choose to join a program	phrasal	
order about	支使来支使去	give constant orders to	phrasal	英
order around	指使来指使去	give orders to constantly	phrasal	
order in	点外卖;叫进来	have food delivered	phrasal	口
order out	下令撤出,赶走	command someone to leave	phrasal	美
order up	端上来;前调	cause to be brought forward	phrasal	
out of your depth	力不从心,难以应付	beyond one's ability to cope	idiom	
packing a punch	威力十足	having a strong effect	idiom	
page down	向下翻页	scroll down a page	phrasal	
page through	快速翻阅	skim by turning pages	phrasal	
page up	向上翻页	scroll up a page	phrasal	
paint a vivid picture	生动地描绘	describe vividly	collocation	
paint with broad strokes	粗略勾勒,大笔描绘	describe in general terms	collocation	
pair up	结对,两两组合	form into pairs	phrasal	
pal about	厮混闲逛	spend casual time together	phrasal	口,英
pal around	厮混,闲混	hang around as pals	phrasal	口
parachute in	空降(接管/任职)	arrive suddenly to take charge	phrasal	
pare back	削减,压缩	reduce gradually	phrasal	财,英
partner up	结成伙伴,合伙	form a partnership	phrasal	
pass back	回传;交还	send or return back	phrasal	
pass on to	转交给	forward to someone else	phrasal	
pass round	分发,传阅	circulate among the group	phrasal	英
pawn off	诓卖出去,甩掉	get rid of by trickery	phrasal	口
pawn off as	谎称是…蒙混	pass off falsely as	phrasal	口
peal out	响彻,轰鸣传出	ring out loudly	phrasal	正
pedal to the metal	油门踩到底,全力冲刺	at full speed	idiom	口
peel away	驶离,散开离开	move away from the group	phrasal	
peel away from	从…脱离	move away from	phrasal	
peel off from	脱离(队伍)	break off from	phrasal	
peg back	抑制住(通胀物价)	keep (inflation) under control	phrasal	财,英
peg it	开溜;拼命干活	hurry away or work flat out	phrasal	俚,英
